Date,Team_A,Score_A,Score_B,Team_B,Winner
12-09-2022,Empoli,1,2,Roma,Roma
17-09-2022,Bologna,0,1,Empoli,Empoli
01-10-2022,Empoli,1,3,Milan,Milan
09-10-2022,Torino,1,1,Empoli,Draw
15-10-2022,Empoli,1,0,Monza,Empoli
21-10-2022,Juventus,4,0,Empoli,Juventus
30-10-2022,Empoli,0,2,Atalanta,Atalanta
05-11-2022,Empoli,1,0,Sassuolo,Empoli
08-11-2022,Napoli,2,0,Empoli,Napoli
11-11-2022,Empoli,2,0,Cremonese,Empoli
04-01-2023,Udinese,1,1,Empoli,Draw
08-01-2023,Lazio,2,2,Empoli,Draw
16-01-2023,Empoli,1,0,Sampdoria,Empoli
23-01-2023,Inter,0,1,Empoli,Empoli
28-01-2023,Empoli,2,2,Torino,Draw
04-02-2023,Roma,2,0,Empoli,Roma
11-02-2023,Empoli,2,2,Spezia,Draw
19-02-2023,Fiorentina,1,1,Empoli,Draw
25-02-2023,Empoli,0,2,Napoli,Napoli
04-03-2023,Monza,2,1,Empoli,Monza
11-03-2023,Empoli,0,1,Udinese,Udinese
17-03-2023,Atalanta,2,1,Empoli,Atalanta
03-04-2023,Empoli,1,0,Lecce,Empoli
07-04-2023,Milan,0,0,Empoli,Draw
14-04-2023,Cremonese,1,0,Empoli,Cremonese
23-04-2023,Empoli,0,3,Inter,Inter
30-04-2023,Sassuolo,2,1,Empoli,Sassuolo
04-05-2023,Empoli,3,1,Bologna,Empoli
08-05-2023,Empoli,2,1,Salernitana,Empoli
15-05-2023,Sampdoria,1,1,Empoli,Draw
22-05-2023,Empoli,4,1,Juventus,Empoli
28-05-2023,Verona,1,1,Empoli,Draw
03-06-2023,Empoli,0,2,Lazio,Lazio
14-08-2022,Fiorentina,3,2,Cremonese,Fiorentina
21-08-2022,Empoli,0,0,Fiorentina,Draw
28-08-2022,Fiorentina,0,0,Napoli,Draw
31-08-2022,Udinese,1,0,Fiorentina,Udinese
03-09-2022,Fiorentina,1,1,Juventus,Draw
11-09-2022,Bologna,2,1,Fiorentina,Bologna
18-09-2022,Fiorentina,2,0,Verona,Fiorentina
02-10-2022,Atalanta,1,0,Fiorentina,Atalanta
10-10-2022,Fiorentina,0,4,Lazio,Lazio
17-10-2022,Lecce,1,1,Fiorentina,Draw
22-10-2022,Fiorentina,3,4,Inter,Inter
30-10-2022,Spezia,1,2,Fiorentina,Fiorentina
06-11-2022,Sampdoria,0,2,Fiorentina,Fiorentina
09-11-2022,Fiorentina,2,1,Salernitana,Fiorentina
13-11-2022,Milan,2,1,Fiorentina,Milan
04-01-2023,Fiorentina,1,1,Monza,Draw
07-01-2023,Fiorentina,2,1,Sassuolo,Fiorentina
15-01-2023,Roma,2,0,Fiorentina,Roma
21-01-2023,Fiorentina,0,1,Torino,Torino
29-01-2023,Lazio,1,1,Fiorentina,Draw
05-02-2023,Fiorentina,1,2,Bologna,Bologna
12-02-2023,Juventus,1,0,Fiorentina,Juventus
19-02-2023,Fiorentina,1,1,Empoli,Draw
27-02-2023,Verona,0,3,Fiorentina,Fiorentina
04-03-2023,Fiorentina,2,1,Milan,Fiorentina
12-03-2023,Cremonese,0,2,Fiorentina,Fiorentina
19-03-2023,Fiorentina,1,0,Lecce,Fiorentina
01-04-2023,Inter,0,1,Fiorentina,Fiorentina
08-04-2023,Fiorentina,1,1,Spezia,Draw
17-04-2023,Fiorentina,1,1,Atalanta,Draw
23-04-2023,Monza,3,2,Fiorentina,Monza
30-04-2023,Fiorentina,5,0,Sampdoria,Fiorentina
03-05-2023,Salernitana,3,3,Fiorentina,Draw
07-05-2023,Napoli,1,0,Fiorentina,Napoli
14-05-2023,Fiorentina,2,0,Udinese,Fiorentina
21-05-2023,Torino,1,1,Fiorentina,Draw
27-05-2023,Fiorentina,2,1,Roma,Fiorentina
02-06-2023,Sassuolo,1,3,Fiorentina,Fiorentina
